tensor(-0.1617, grad_fn=<CopyBackwards>)
tensor(-0.0155, grad_fn=<CopyBackwards>)
tensor(-0.0018, grad_fn=<CopyBackwards>)
tensor(-0.0044, grad_fn=<CopyBackwards>)
tensor(-0.0043, grad_fn=<CopyBackwards>)
tensor(-0.0031, grad_fn=<CopyBackwards>)
tensor(-0.0052, grad_fn=<CopyBackwards>)
tensor(-0.2988, grad_fn=<CopyBackwards>)
tensor(-0.0002, grad_fn=<CopyBackwards>)
tensor(-0.0009, grad_fn=<CopyBackwards>)
tensor(-0.0013, grad_fn=<CopyBackwards>)
tensor(-0.0009, grad_fn=<CopyBackwards>)
tensor(-0.0242, grad_fn=<CopyBackwards>)
tensor(-0.0066, grad_fn=<CopyBackwards>)
tensor(-0.0384, grad_fn=<CopyBackwards>)
tensor(-0.0011, grad_fn=<CopyBackwards>)
tensor(-0.0110, grad_fn=<CopyBackwards>)
tensor(-0.0024, grad_fn=<CopyBackwards>)
tensor(-0.1625, grad_fn=<CopyBackwards>)
tensor(-0.2295, grad_fn=<CopyBackwards>)
tensor(-0.0062, grad_fn=<CopyBackwards>)
tensor(-0.0386, grad_fn=<CopyBackwards>)
tensor(-0.0116, grad_fn=<CopyBackwards>)
tensor(-0.0721, grad_fn=<CopyBackwards>)
tensor(-0.0003, grad_fn=<CopyBackwards>)
tensor(-0.0011, grad_fn=<CopyBackwards>)
tensor(-0.0042, grad_fn=<CopyBackwards>)
tensor(-0.2303, grad_fn=<CopyBackwards>)
tensor(-0.1827, grad_fn=<CopyBackwards>)
tensor(-0.0227, grad_fn=<CopyBackwards>)
tensor(-0.1840, grad_fn=<CopyBackwards>)
tensor(-0.0160, grad_fn=<CopyBackwards>)
tensor(-0.0138, grad_fn=<CopyBackwards>)
tensor(-0.0092, grad_fn=<CopyBackwards>)
tensor(-0.0837, grad_fn=<CopyBackwards>)
tensor(-0.0049, grad_fn=<CopyBackwards>)
tensor(-0.0004, grad_fn=<CopyBackwards>)
tensor(-0.0012, grad_fn=<CopyBackwards>)
tensor(-0.0135, grad_fn=<CopyBackwards>)
tensor(-0.0039, grad_fn=<CopyBackwards>)
tensor(-0.1712, grad_fn=<CopyBackwards>)
tensor(-0.1874, grad_fn=<CopyBackwards>)
tensor(-0.0121, grad_fn=<CopyBackwards>)
tensor(-0.0039, grad_fn=<CopyBackwards>)
tensor(-0.0346, grad_fn=<CopyBackwards>)
tensor(-0.0008, grad_fn=<CopyBackwards>)
tensor(-0.0534, grad_fn=<CopyBackwards>)
tensor(-0.0389, grad_fn=<CopyBackwards>)
tensor(-0.2218, grad_fn=<CopyBackwards>)
tensor(-0.2086, grad_fn=<CopyBackwards>)
tensor(-0.0065, grad_fn=<CopyBackwards>)
tensor(-0.0580, grad_fn=<CopyBackwards>)
tensor(-0.2286, grad_fn=<CopyBackwards>)
tensor(-0.0208, grad_fn=<CopyBackwards>)
tensor(-0.1149, grad_fn=<CopyBackwards>)
tensor(-0.0094, grad_fn=<CopyBackwards>)
tensor(-0.0142, grad_fn=<CopyBackwards>)
tensor(-0.0037, grad_fn=<CopyBackwards>)
tensor(-0.1063, grad_fn=<CopyBackwards>)
tensor(-0.0007, grad_fn=<CopyBackwards>)
tensor(-0.0003, grad_fn=<CopyBackwards>)
tensor(-0.0177, grad_fn=<CopyBackwards>)
tensor(-0.2828, grad_fn=<CopyBackwards>)
tensor(-0.0835, grad_fn=<CopyBackwards>)
tensor(-0.0013, grad_fn=<CopyBackwards>)
tensor(-0.0017, grad_fn=<CopyBackwards>)
tensor(-0.2868, grad_fn=<CopyBackwards>)
tensor(-0.1181, grad_fn=<CopyBackwards>)
tensor(-0.0634, grad_fn=<CopyBackwards>)
tensor(-0.0158, grad_fn=<CopyBackwards>)
tensor(-0.0064, grad_fn=<CopyBackwards>)
tensor(-0.0691, grad_fn=<CopyBackwards>)
tensor(-0.0009, grad_fn=<CopyBackwards>)
tensor(-0.0002, grad_fn=<CopyBackwards>)
tensor(-0.0164, grad_fn=<CopyBackwards>)
