tensor(-0.7366, grad_fn=<CopyBackwards>)
tensor(-0.8278, grad_fn=<CopyBackwards>)
tensor(-0.6532, grad_fn=<CopyBackwards>)
tensor(-0.8327, grad_fn=<CopyBackwards>)
tensor(-0.6288, grad_fn=<CopyBackwards>)
tensor(-0.6547, grad_fn=<CopyBackwards>)
tensor(-0.6278, grad_fn=<CopyBackwards>)
tensor(-0.9228, grad_fn=<CopyBackwards>)
tensor(-0.7886, grad_fn=<CopyBackwards>)
tensor(-0.7555, grad_fn=<CopyBackwards>)
tensor(-0.7304, grad_fn=<CopyBackwards>)
tensor(-0.8808, grad_fn=<CopyBackwards>)
tensor(-0.8429, grad_fn=<CopyBackwards>)
tensor(-0.5559, grad_fn=<CopyBackwards>)
